"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","750","Não deve logar com senha incorreta","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","1734","Deve permitir excluir uma série existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","2072","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","744","Não deve logar quando senha e email não são preenchidos","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","2067","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","1064","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1906","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","1955","Deve retornar erro ao cadastrar email inválido","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","1091","Deve permitir excluir um filme existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","735","Não deve logar quando a senha não é preenchida","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","4047","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","1452","Não deve permitir cadastrar filme duplicado","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","730","Deve logar como Admin com sucesso","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","7351","Deve poder cadastrar uma nova série com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","1481","Deve poder cadastrar um novo filme com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","2302","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","734","Não deve logar quando o email não é preenchido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","1463","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","2754","Não deve permitir cadastrar série duplicada","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","715","Não deve logar quando o email é inválido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","1974","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","2172","Não deve cadastrar quando o email já existe na lista","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
