"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1645","Deve permitir excluir uma série existente com sucesso","","2026-09-20","passed","2026-09-20","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","659","Não deve logar quando o email é inválido","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","7384","Deve poder cadastrar uma nova série com sucesso","","2026-09-20","passed","2026-09-20","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","1879","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","708","Não deve logar com senha incorreta","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","1796","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-20","passed","2026-09-20","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","2455","Não deve permitir cadastrar série duplicada","","2026-09-20","passed","2026-09-20","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","968","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-20","passed","2026-09-20","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","3913","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","728","Não deve logar quando senha e email não são preenchidos","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","758","Deve logar como Admin com sucesso","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","1914","Deve retornar erro ao cadastrar email inválido","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","1798","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-20","passed","2026-09-20","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","2000","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","2019","Não deve cadastrar quando o email já existe na lista","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","1103","Deve permitir excluir um filme existente com sucesso","","2026-09-20","passed","2026-09-20","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","1411","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-20","passed","2026-09-20","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","1373","Não deve permitir cadastrar filme duplicado","","2026-09-20","passed","2026-09-20","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","1399","Deve poder cadastrar um novo filme com sucesso","","2026-09-20","passed","2026-09-20","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","2134","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-20","passed","2026-09-20","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","644","Não deve logar quando o email não é preenchido","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","661","Não deve logar quando a senha não é preenchida","","2026-09-20","passed","2026-09-20","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
