"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1179","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1537","Deve poder cadastrar um novo filme com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","2218","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","3970","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","2717","Não deve permitir cadastrar série duplicada","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","1885","Deve retornar erro ao cadastrar email inválido","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","676","Não deve logar quando a senha não é preenchida","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","1640","Não deve permitir cadastrar filme duplicado","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","670","Não deve logar quando o email é inválido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","2175","Não deve cadastrar quando o email já existe na lista","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","1435","Deve permitir excluir um filme existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","2240","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","673","Deve logar como Admin com sucesso","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","1409","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","1973","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","7319","Deve poder cadastrar uma nova série com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","1935","Deve permitir excluir uma série existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","1889","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","705","Não deve logar quando senha e email não são preenchidos","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","1871","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","717","Não deve logar com senha incorreta","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","681","Não deve logar quando o email não é preenchido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
