"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1984","Deve retornar erro ao cadastrar email inválido","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","780","Não deve logar com senha incorreta","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","1405","Não deve permitir cadastrar filme duplicado","","2026-09-23","passed","2026-09-23","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
"","1608","Deve poder cadastrar um novo filme com sucesso","","2026-09-23","passed","2026-09-23","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","3107","Não deve permitir cadastrar série duplicada","","2026-09-23","passed","2026-09-23","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","787","Não deve logar quando senha e email não são preenchidos","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","1815","Deve permitir excluir uma série existente com sucesso","","2026-09-23","passed","2026-09-23","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","2130","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","1150","Deve permitir excluir um filme existente com sucesso","","2026-09-23","passed","2026-09-23","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","2246","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-23","passed","2026-09-23","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","7613","Deve poder cadastrar uma nova série com sucesso","","2026-09-23","passed","2026-09-23","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","1984","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","2102","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-23","passed","2026-09-23","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","814","Deve logar como Admin com sucesso","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","4380","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","2251","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","743","Não deve logar quando o email não é preenchido","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","796","Não deve logar quando a senha não é preenchida","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","1596","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-23","passed","2026-09-23","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","799","Não deve logar quando o email é inválido","","2026-09-23","passed","2026-09-23","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","1105","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-23","passed","2026-09-23","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","2261","Não deve cadastrar quando o email já existe na lista","","2026-09-23","passed","2026-09-23","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
