"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","869","Não deve cadastrar filme quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesRecordWithFieldNull"
"","1863","Deve retornar erro ao cadastrar sem preencher o nome","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioNome"
"","583","Não deve logar quando o email é inválido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailWithIncorrect"
"","2438","Não deve permitir cadastrar série duplicada","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecordDuplicate"
"","580","Não deve logar com senha incorreta","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminIncorrectPassword"
"","1247","Deve realizar busca de filmes pelo termo 'zumbi'","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesSearchMovie"
"","932","Deve permitir excluir um filme existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesDeleteMovie"
"","1758","Deve retornar erro ao submeter formulário de lead vazio","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorio"
"","1803","Deve retornar erro ao cadastrar email inválido","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipalEmailIncorreto"
"","579","Não deve logar quando a senha não é preenchida","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordNull"
"","597","Não deve logar quando senha e email não são preenchidos","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminPasswordAndEmailWithNull"
"","7046","Deve poder cadastrar uma nova série com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsNewRecord"
"","2009","Deve cadastrar um lead na fila de espera com sucesso","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","fluxoPrincipal"
"","1661","Deve realizar busca de séries pelo termo 'zombie'","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsSearchTvShow"
"","579","Não deve logar quando o email não é preenchido","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdminEmailNull"
"","628","Deve logar como Admin com sucesso","","2026-09-26","passed","2026-09-26","","tests.LoginTest","tests.LoginTest","PageLoginAdmin"
"","1213","Deve poder cadastrar um novo filme com sucesso","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecord"
"","1916","Não deve cadastrar quando o email já existe na lista","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","FluxoPrincipalNaoCadastroEmailExistente"
"","1663","Não deve cadastrar série quando os campos obrigatórios não forem preenchidos","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsRecordWithFieldNull"
"","1568","Deve permitir excluir uma série existente com sucesso","","2026-09-26","passed","2026-09-26","","tests.TvShowsTest","tests.TvShowsTest","pageTvShowsDeleteTvShow"
"","3540","Deve retornar erro ao cadastrar sem preencher o email","","2026-09-26","passed","2026-09-26","","tests.LeadsTest","tests.LeadsTest","campoObrigatorioEmail"
"","1138","Não deve permitir cadastrar filme duplicado","","2026-09-26","passed","2026-09-26","","tests.MoviesTests","tests.MoviesTests","pageMoviesNewRecordDuplicate"
